Departement; Nombre de déclarants;Blanc;Rouge/Rosé;Total
Ain;711;18528;43249;61777
Aisne;456;198;651652;651850
Allier;225;27763;36141;63904
Alpes De Haute-Provence;17;29351;30676;60027
Hautes Alpes;40;3498;4400;7898
Alpes Maritimes;19;1801;3538;5339
Ardeche;427;353607;399251;752858
Ardennes;2;20;22;42
Ariege;27;908;752;1660
Aube;1 387;6323;1401572;1407895
Aude;877;2278033;2601038;4879071
Aveyron;854;21046;19520;40566
Bouches Du Rhone;171;270550;299503;570053
Calvados;1;17;455;472
Cantal;6;189;249;438
Charente;2 693;37127;33526;70653
Charente Maritime;3 146;78197;112130;190327
Cher;628;51046;221346;272392
Correze;28;3608;4372;7980
Cote D Or;2 018;459081;792683;1251764